program_id,program_name,study_mode,campus,delivery_method,offerings,campus_relationships
7880ACERT,Construction Operations,Part-time,Burnaby Campus / Online,Blended,1,0
7935DIPMA,"Fish, Wildlife and Recreation",Full-time,Burnaby Campus,In person,1,0
7950ASCERT,Magnetic Resonance Imaging,Part-time,Online,Online,1,0
7975DIPMA,Magnetic Resonance Imaging,Full-time,Burnaby Campus,In person,1,0
7985ACERT,Business Fundamentals,Full-time,Burnaby Campus,In person,1,0
8020BENG,Mechanical Engineering,Full-time,Burnaby Campus,In person,1,0
8030BENG,Electrical Engineering,Full-time,Burnaby Campus,In person,1,0
8040BSC,Ecological Restoration,Full-time/Part-time,Burnaby Campus,Blended,1,0
8050BTECH,Architectural Science,Full-time,Burnaby Campus,In person,1,0
810ABSN,"Specialty Nursing (Critical Care - Standard Option), Bachelor of Science in Nursing, Part-time",Part-time,Online,Program delivery Online: This program is delivered fully online.,0,0
810BBSN,"Specialty Nursing (Emergency - Standard Option), Bachelor of Science in Nursing, Part-time",Part-time,Online,Program delivery Online: This program is delivered fully online.,0,0
810CBSN,"Specialty Nursing (Neonatal), Bachelor of Science in Nursing, Part-time",Part-time,Online,Program delivery Online: This program is delivered fully online.,0,0
810DBSN,"Specialty Nursing (Nephrology), Bachelor of Science in Nursing, Part-time",Part-time,Online,Program delivery Online: This program is delivered fully online.,0,0
810FBSN,"Specialty Nursing (Pediatric - Standard Option), Bachelor of Science in Nursing, Part-time",Part-time,Online,Program delivery Online: This program is delivered fully online.,0,0
810GBSN,"Specialty Nursing (Perinatal - Standard Option), Bachelor of Science in Nursing, Part-time",Part-time,Online,Program delivery Online: This program is delivered fully online.,0,0
810HBSN,"Specialty Nursing (Perioperative), Bachelor of Science in Nursing, Part-time",Part-time,Online,Program delivery Online: This program is delivered fully online.,0,0
810KBSN,"Specialty Nursing (Critical Care - Combined Critical Care/Emergency Option), Bachelor of Science in Nursing, Part-time",Part-time,Online,Program delivery Online: This program is delivered fully online.,0,0
810MBSN,"Specialty Nursing (High Acuity), Bachelor of Science in Nursing, Part-time",Part-time,Online,Program delivery Online: This program is delivered fully online.,0,0
810NBSN,"Specialty Nursing (Emergency - Combined Emergency/Critical Care Option), Bachelor of Science in Nursing, Part-time",Part-time,Online,Program delivery Online: This program is delivered fully online.,0,0
810QBSN,"Specialty Nursing (Pediatric - Critical Care Option), Bachelor of Science in Nursing, Part-time",Part-time,Online,Program delivery Online: This program is delivered fully online.,0,0
810SBSN,"Specialty Nursing (Perinatal - Perioperative Option), Bachelor of Science in Nursing, Part-time",Part-time,Online,Program delivery Online: This program is delivered fully online.,0,0
8120BTECH,Environmental Engineering,Full-time/Part-time,Burnaby Campus,Blended,1,0
830ABHSC,Bachelor of Health Science (Magnetic Resonance Imaging Option),Part-time,Online,Online,1,0
8310BTECH,Geographic Information Systems,Full-time/Part-time,Burnaby Campus / online,Blended,1,0
8350BTECH,Technology Management,Part-time,Burnaby Campus / Online,Blended,1,0
847ABTECH,Forensic Investigation (Crime and Intelligence Analysis Option),Part-time,Downtown Campus / Burnaby Campus / Online,Blended,1,0
847BBTECH,Forensic Investigation (Forensic Science Option),Part-time,Downtown Campus / Burnaby Campus / Online,Blended,1,0
847CBTECH,Forensic Investigation (Digital Forensics and Cybersecurity Option),Full-time/Part-time,Downtown Campus / Burnaby Campus / Online,Blended,1,0
8520BENVH,Environmental Public Health,Full-time,Burnaby Campus,In person,1,0
8610BENG,Mining and Mineral Resource Engineering,Full-time,Burnaby Campus,In person,1,0
8630BACC,Accounting,Full-time / Part-time (Flexible Learning),Burnaby Campus,In person,5,1
8645BSC,Geomatics,Full-time,Burnaby Campus,In person,1,0
8650BSC,Radiation Therapy,Full-time,Burnaby Campus,In person,1,0
8660BENG,Civil Engineering Bachelor of Engineering,Full-time,Burnaby,In Person,1,1
867ABSC,Applied Computer Science (Games Development Option),Full-time,Burnaby Campus,In person,1,0
867BBSC,Applied Computer Science (Network Security Applications Development Option),Full-time/Part-time,Downtown Campus / Burnaby Campus / Online,Blended,1,0
867CBSC,Applied Computer Science (Database Option),Full-time/Part-time,Burnaby Campus / online,Blended,1,0
867DBSC,Applied Computer Science (Human Computer Interface Option),Part-time,Downtown Campus / Burnaby Campus / Online,Blended,1,0
867EBSC,Applied Computer Science (Network Security Administration Option),Part-time,Downtown Campus / Burnaby Campus / Online,Blended,1,0
867FBSC,Applied Computer Science (Wireless and Mobile Applications Development Option),Part-time,Downtown Campus / Burnaby Campus / Online,Blended,1,0
8800BTECH,Construction Management,Full-time and Part-time,Burnaby,In person,4,1
8830BID,Interior Design,Full-time,Burnaby Campus / Online,Blended,1,0
8875BSN,"Nursing, Bachelor of Science in Nursing, Full-time",Full-time,Burnaby,Program delivery In person: This program is delivered on campus.,0,1
8900BTECH,Electronics,Part-time / Flexible Learning,Burnaby,In person,0,1
8910BSC,Honours in Biotechnology,Full-time,Burnaby Campus,In person,1,0
9100FADVDIP,Geographic Information Systems,Full-time,Burnaby Campus,In person,1,0
9100PADVDIP,Geographic Information Systems,Part-time,Online,Online,1,0
9940BSC,Combined Honours in Biochemistry and Forensic Science,Full-time,Burnaby Campus and UBC Vancouver,In person,1,0
9975BBA,Bachelor of Business Administration,Full-time/Part-time,Burnaby Campus / online,Blended,1,0
9980BCI,Bachelor of Creative Industries,Full-time,Burnaby Campus,In person,1,0
A200GRCERT,Building Energy Modelling,Part-time,Burnaby Campus,In person,1,0
A500GRCERT,Global Leadership,Full-time,Downtown Campus / Online,Blended,1,0
A600GRCERT,Business Analytics,Full-time,Vancouver Campus,Blended,1,0
A700GRCERT,Business Administration,Full-time,"Downtown Campus, Vancouver",Blended (on campus and online),1,1
M120MENG,Building Science,Full-time/Part-time,Burnaby Campus,Blended,1,0
M220MASC,Building Engineering/Building Science,Full-time/Part-time,Burnaby Campus,Blended,1,0
M410MSC,Ecological Restoration,Full-time/Part-time,Burnaby Campus,Blended,1,0
M500MENG,Smart Grid Systems and Technologies,Full-time/Part-time,Burnaby Campus,Blended,1,0
M600MSC,Applied Computing,Full-time,Burnaby; possible Downtown Campus or field locations,In person,2,2
