program_id,program_title,current_state,proposed_status,action,proposed_db_actions,evidence,notes,blockers
2230CERT,Millwright Foundation,"{""delivery_facts"":{""authoritative_raw"":""Program length 24 weeks, full-time Grading The minimum course passing grade is 70 percent. Program delivery In person: This program is delivered on campus. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC SkilledTradesBC BCIT transfers the student's name, contact information, Personal Education Number (PEN), and the name and date of the completed Foundation program to SkilledTradesBC. This information is used for the purposes of tracking successful completions in order to grant credit towards apprenticeship where applicable, and communicating with trainees to promote continuation in an apprenticeship program. Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2230CERT"",""source_url"":""https://www.bcit.ca/programs/millwright-foundation-certificate-full-time-2230cert/"",""terms_per_year"":null,""total_credits"":""48.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2365CERT,Motorcycle Technician Foundation,"{""delivery_facts"":{""authoritative_raw"":""Program length 20 weeks, full-time Grading The passing grade in each course is 70%. Grades are calculated upon completion of theory assessments and practical shop exercises. All courses must be passed in order to successfully complete the program. Accreditation This harmonized foundation program meets all technical training requirements for level 1 apprenticeship outcomes for Motorcycle Technician in BC. Program delivery Blended: This program is delivered partly on campus and partly online. Typical delivery includes classroom lecture, followed by shop practical exercises. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Distance and online learning SkilledTradesBC BCIT transfers the student's name, contact information, Personal Education Number (PEN), and the name and date of the completed Foundation program to SkilledTradesBC. This information is used for the purposes of tracking successful completions in order to grant credit towards apprenticeship where applicable, and communicating with trainees to promote continuation in an apprenticeship program. Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2365CERT"",""source_url"":""https://www.bcit.ca/programs/motorcycle-technician-foundation-certificate-full-time-2365cert/"",""terms_per_year"":null,""total_credits"":""39.5""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2505ACERTS,Master 150GT Domestic,"{""delivery_facts"":{""authoritative_raw"":""Program length There are seven courses that make up the 23-week program. These courses are offered on a course-by-course basis and are not offered as a full-time program. Program delivery These modular based courses are available on a course-by-course basis and are not offered as a full-time program. Courses are offered in a daytime delivery format. Course availability varies and courses may be offered in one or more of the three terms: Fall (September - December), Winter (January - March), and Spring/Summer (April - August). Check available Part-time Studies courses Program location Marine Campus 65 West Esplanade North Vancouver, BC Continue your education A Master 150 GT Domestic certification from Transport Canada requires the following additional courses: Standards Training, Certification and Watchkeeping (STCW) Basic Safety (BST) Proficiency in Survival Craft (SC) Marine Advanced First Aid (MAFA) Advanced Fire Fighting (AFF) Global Maritime Distress Safety System Restricted Operator Certification Maritime Commercial (ROC MC) Note: Basic Safety, Proficiency in Survival Craft and the Marine Advanced First Aid courses must be completed prior to registering in the Advanced Fire Fighting course. For more information about specific progressive occupational licensing, please contact the department head, Agnelo Pereira . Sea service requirements According to the Marine Personnel Regulations SOR/2007-115, sea service requirements are not a prerequisite for being accepted in the program. However, sea service will be required for the General Seamanship oral examination with Transport Canada. For sea service details please refer to section 129 of the Marine Personnel Regulations, inquire at your nearest Transport Canada Marine Safety office, or visit Transport Canada - Marine Transportation . Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2505ACERTS"",""source_url"":""https://www.bcit.ca/programs/master-150gt-domestic-associate-certificate-part-time-2505acerts/"",""terms_per_year"":null,""total_credits"":""46.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2515ACERTS,Master 500GT Domestic,"{""delivery_facts"":{""authoritative_raw"":""Program length There are 8 courses that make up the 24-week program. These courses are offered on a course-by-course basis and are not offered as a full-time program. Program delivery In person: This program is delivered on campus. These modular based courses are available on a course-by-course basis and are not offered as a full-time program. Courses are offered in a daytime delivery format. Course availability varies and courses may be offered in one or more of the three terms: Fall (September - December), Winter (January - March), and Spring/Summer (April - August). Check available Flexible Learning (Part-time Studies) courses Program location Marine Campus 65 West Esplanade North Vancouver, BC Continue your education A Master 500 GT Domestic certification from Transport Canada requires the following additional courses: Standards Training, Certification and Watchkeeping (STCW) Basic Safety (BST) Proficiency in Survival Craft (PSC) Marine Advanced First Aid (MAFA) Advanced Fire Fighting (AFF) Global Maritime Distress Safety System Restricted Operator Certification Maritime Commercial (ROC MC) Basic Safety, Proficiency in Survival Craft and the Marine Advanced First Aid courses must be completed prior to registering in the Advanced Fire Fighting course. For more information about specific progressive occupational licensing, please contact the Chief Instructor . Sea service requirements According to the Marine Personnel Regulations SOR/2007-115, sea service requirements are not a prerequisite for being accepted into this program. However, sea service will be required for the General Seamanship oral examination with Transport Canada. For sea service details, please refer to section 128 of the Marine Personnel Regulations, inquire at your nearest Transport Canada Marine Safety office, or visit Transport Canada - Marine Transportation . Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2515ACERTS"",""source_url"":""https://www.bcit.ca/programs/master-500gt-domestic-associate-certificate-part-time-2515acerts/"",""terms_per_year"":null,""total_credits"":""48.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2522CERTTS,Master 3000GT Domestic,"{""delivery_facts"":{""authoritative_raw"":""Program length There are 10 courses that make up the 34 week program. These courses are offered on a course by course basis and are not offered as a full-time program. Program delivery In person: This program is delivered on campus. These modular based courses are available on a course-by-course basis and are not offered as a full-time program. Courses are offered in a daytime delivery format. Course availability varies and courses may be offered in one or more of the three terms: Fall (September - December), Winter (January - March), and Spring/Summer (April - August). Check available Flexible Learning (Part-time Studies) courses Program location Marine Campus 65 West Esplanade North Vancouver, BC Continue your education A Master 3000 GT Domestic certification from Transport Canada requires the following additional courses: Standards Training, Certification and Watchkeeping (STCW) Basic Safety (BST) Proficiency in Survival Craft (PSC) Marine Advanced First Aid (MAFA) Advanced Fire Fighting (AFF) Global Maritime Distress Safety System Restricted Operator Certification Maritime Commercial (ROC MC) Basic Safety, Proficiency in Survival Craft ,and the Marine Advanced First Aid courses must be completed prior to registering in the Advanced Fire Fighting course. For more information about specific progressive occupational licensing, please contact the Chief Instructor . Sea service requirements According to the Marine Personnel Regulations SOR/2007-115, sea service requirements are not a prerequisite for being accepted in the program. However, sea service will be required for the General Seamanship oral examination with Transport Canada. For sea service details please refer to section 127 of the Marine Personnel Regulations, inquire at your nearest Transport Canada Marine Safety office, or visit Transport Canada - Marine Transportation . Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2522CERTTS"",""source_url"":""https://www.bcit.ca/programs/master-3000gt-domestic-certificate-part-time-2522certts/"",""terms_per_year"":null,""total_credits"":""67.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2536DIPMA,Nautical Sciences,"{""delivery_facts"":{""authoritative_raw"":""Program length Three years, full-time. Program delivery In person: This program is delivered on campus. Program location Marine Campus 265 West Esplanade North Vancouver, BC The majority of classes take place at the BCIT Marine Campus. However, some courses may be taken offsite at locations such as the Justice Institute Fire and Safety Training Centre in Maple Ridge, BC and Primary Response in North Vancouver, BC. Program structure This three-year diploma program consists of three terms of classroom instruction interspersed with two Co-op terms: School Co-op Terms School Co-op Terms First Year Term 1 (Feb-Sep) Term 2 (Sep-Apr) Term 1 (Sep-Mar) Term 2 (Mar-Oct) Second Year Term 3 (Apr-Sep) Term 4 (Sep-Jun) Term 3 (Oct-May) Term 4 (May-Jan) Third Year Term 5 (Jun-Dec) Term 5 (Feb-Aug) A Transport Canada Training Certificate will be issued to students who successfully complete the program, subject to 12 months of TCMSS approved sea time being completed. This certificate is required to book for an oral examination on General Seamanship at Transport Canada. If successful in passing this examination, the student will obtain a Watchkeeping Mate Certificate of Competency from TCMSS. A BCIT Diploma, upon application, will be issued to students successfully completing the program. A diploma may provide credits towards a bachelor's degree. Learn more about Transport Canada exemptions in the Nautical Sciences Program. Additional program requirements Students must successfully complete all courses in the program within 7 years from the start of the program. PER TP section 1.27 (1)(g), students must have sea service completed onboard one or more vessels of at least 150 gross tonnage while the vessels are engaged on voyages beyond sheltered waters. All students need to complete Transport Canada’s Fatigue Management at Sea (FMT) training prior to the MEDI courses. Please email a copy of your completed training certificate to your Program Assistant/Program Coordinator and Department Head prior to the MEDI course start date. Be prepared to present a physical copy of your FMT certificate on the 1st day of the course at the BCIT Marine Campus (BMC) or Justice Institute of BC (JIBC). In order to complete the firefighting portion of MEDI 1510 – STCW Basic Safety Training and MEDI 2510 – Advanced Fire Fighting, participants must be clean-shaven where the self-contained breathing apparatus (SCBA) or any tight-fitting respirator seals with the face, as per WorkSafe BC Occupational Health and Safety Regulation Part 31: Firefighting . Students must follow the rules and regulations provided by BCIT and the Justice Institute of BC for the donning of personal protective equipment. TCMSS examination fees, where applicable, are not part of the program course fees. They are payable to TCMSS directly and are due two weeks in advance of the examination. Standard BCIT policies concerning examination re-writes apply to this program. Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2536DIPMA"",""source_url"":""https://www.bcit.ca/programs/nautical-sciences-diploma-full-time-2536dipma/"",""terms_per_year"":null,""total_credits"":""238.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2542CERTTS,Watchkeeping Mate Near Coastal (WKMNC),"{""delivery_facts"":{""authoritative_raw"":""Program length There are 12 courses that make up the 38-week program. These courses are offered on a course-by-course basis and are not offered as a full-time program. Program delivery In person: This program is delivered on campus. These modular based courses are available on a course-by-course basis and are not offered as a full-time program. Courses are offered in a daytime delivery format. Course availability varies and courses may be offered in one or more of the three terms: Fall (September - December), Winter (January - March), and Spring/Summer (April - August). Check available Flexible Learning (Part-time Studies) courses Continue your education A Watchkeeping Mate Near Coastal (WKMNC) certification from Transport Canada requires the following additional courses: Standards Training, Certification and Watchkeeping (STCW) Basic Safety (BST) Proficiency in Survival Craft (PSC) Marine Advanced First Aid (MAFA) Advanced Fire Fighting (AFF) Global Maritime Distress Safety System Restricted Operator Certification Maritime Commercial (ROC MC) Basic Safety, Proficiency in Survival Craft and the Marine Advanced First Aid courses must be completed prior to registering in the Advanced Fire Fighting course. For more information about specific progressive occupational licensing, please contact the Chief Instructor . Sea service requirements According to the Marine Personnel Regulations SOR/2007-115, sea service requirements are not a prerequisite for being accepted into the program. However, sea service will be required for the General Seamanship oral examination with Transport Canada. For sea service details please refer to section 134 of the Marine Personnel Regulations, inquire at your nearest Transport Canada Marine Safety office, or visit Transport Canada - Marine Transportation . Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2542CERTTS"",""source_url"":""https://www.bcit.ca/programs/watchkeeping-mate-near-coastal-wkmnc-certificate-part-time-2542certts/"",""terms_per_year"":null,""total_credits"":""77.5""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2847CERT,Welder Foundation,"{""delivery_facts"":{""authoritative_raw"":""As a Welding Foundation student, most of your time will be spent in our shop. All practicals will be demonstrated first by your instructor then you have to practice each weld until it meets industry standards. You’ll use state-of-the-art inverter technology, as well as equipment that would be typically found in most welding shops. The idea is to prepare you for work with job-ready skills, so self-motivation and the ability to work independently will also be emphasized. Once you have reached a certain skill set, you will be performing destructive tests on your welds to assure they meet the Canadian Welding Code W59 standards. Dependent on time restraints and availability you could go on field trips with your class. Such trips could include a foundry, a custom fabricating/welding shop, or a shipyard, to see some of the potential worksites and welding specialization streams that are available. For the most part, to succeed in this program, it will take a good work ethic, good physical fitness, hand eye coordination and practice, practice and more practice! Program length 28 weeks, full-time. Grading Minimum course passing grade is 70 percent. Additional program options Part programs vary according to individual requirements and upgrade option goals. The program is offered on a continuous intake basis where spaces will be filled as they become available. Applicants must be welders currently or recently employed in the field of welding. Registration is done by phone 604-432-8203, or in person in the Welding office, Building NE12, second floor. Content Level C, B, and A performance challenge tests** Canadian Welding Bureau (CWB) procedural tests* A.S.M.E. pre-qualified welding procedure tests* Company and/or manufacturers' performance tests* Welding process upgrading General brush-up of skills Any individual B.C. Registered Welder Training programs module*: Level C Level B Level A A letter of approval for welding test may be required for company/union welding tests. ** A letter of approval is also required from the ITA (Industry Training Authority) for levels C, B and A challenge performance tests. Welding Applied Processes Training in the following processes is available by request. All inquiries should be directed to the Welding office at 604-432-8203 for course costs and dates. Submerged Arc Welding GTAW of Titanium Alloys Automated Welding Systems Downhill Pipeline Part-time Courses A number of introductory courses in welding are available through the Part-time Studies department. Credit transfer from these courses may be arranged when enroling in Welding Upgrade options. Program delivery In person: This program is delivered on campus. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2847CERT"",""source_url"":""https://www.bcit.ca/programs/welder-foundation-certificate-full-time-2847cert/"",""terms_per_year"":null,""total_credits"":""56.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2860TTCERT,"Welding, Level B","{""delivery_facts"":{""authoritative_raw"":""Program length Up to 16 weeks depending on modules required. Grading Minimum course passing grade is 70 percent. Additional program options Part programs vary according to individual requirements and upgrade option goals. The program is offered on a continuous intake basis where spaces will be filled as they become available. Applicants must be welders currently or recently employed in the field of welding. Registration is done by phone 604-432-8203, or in person in the Welding office, Building NE 8, second floor. Content Foundation, Level B, and Level A performance challenge tests** Canadian Welding Bureau (CWB) procedural tests A.S.M.E. pre-qualified welding procedure tests Company and/or manufacturers' performance tests Welding process upgrading General brush-up of skills Any individual B.C. Registered Welder Training programs module: Foundation Level B Level A A letter of approval for welding test may be required for company/union welding tests. ** A letter of approval is also required from SkilledTradesBC for Foundation, Level B and Level A challenge performance tests. Welding Applied Processes Additional training in Welding Applied Processes is available by request. Contact the Welding Department at 604-456-8082 for more information. Flexible Learning A number of introductory courses in welding are available through the Flexible Learning (Part-time Studies) department. Contact Matt Magee at 604-454-2266 or Mark Flynn at 604-456-8082. Program delivery In person: This program is delivered on campus. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2860TTCERT"",""source_url"":""https://www.bcit.ca/programs/welding-level-b-certificate-full-time-2860ttcert/"",""terms_per_year"":null,""total_credits"":""24.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2870TTCERT,"Welding, Level A","{""delivery_facts"":{""authoritative_raw"":""Program length Approximately eight weeks, depending on number of modules required. Grading Minimum course passing grade is 70 percent. Additional program options Upgrading/brush-up/self-paced options vary according to individual requirements. The program is offered on a continuous intake basis where spaces are filled as they become available. Applicants must be welders currently or recently employed in the field of welding. Registration is done by phone 604-432-8203, or in person in the Welding office, Building NE 8, second floor. Content Foundation, Level B, and Level A performance challenge tests** Canadian Welding Bureau (CWB) procedural tests A.S.M.E. pre-qualified welding procedure tests Company and/or manufacturers' performance tests Welding process upgrading General brush-up of skills Any individual B.C. Registered Welder Training programs module: Foundation Level B Level A A letter of approval for welding test may be required for company/union welding tests. ** A letter of approval is also required from SkilledTradesBC for Foundation, Level B and Level A challenge performance tests. Welding Applied Processes Additional training in Welding Applied Processes is available by request. Contact the Welding Department at 604-456-8082 for more information. Flexible Learning A number of introductory courses in welding are available through the Flexible Learning (Part-time Studies) department. Contact Matt Magee at 604-454-2266 or Mark Flynn at 604-456-8082. Program delivery In person: This program is delivered on campus. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2870TTCERT"",""source_url"":""https://www.bcit.ca/programs/welding-level-a-certificate-full-time-2870ttcert/"",""terms_per_year"":null,""total_credits"":""16.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2885ADVDIP,Marine Engineering,"{""delivery_facts"":{""authoritative_raw"":""Program length 34 weeks (8 months, full-time). Grading A minimum passing grade of 60% is required in each course. Accreditation Upon successful completion of the Advanced Diploma, students will receive a Transport Canada training certificate, Engineering Officer Education and Training program at the Management level (EOET-M), which will grant students the exemptions for the academic subjects of the First-Class Standards of Training, Certification and Watchkeeping (STCW) Certificate of Competency (CoC). Upon obtaining the necessary sea time as watchkeeping officers, students can write the appropriate STCW First-Class Engineering General & Motor examinations and take the oral exam to obtain the First-Class Motor Marine Engineer CoC, which is recognized internationally. Program delivery In person: This program is delivered on campus. Program location Marine Campus 265 West Esplanade North Vancouver, BC Continue your education Completion of the Advanced Diploma in Marine Engineering, going forward, may lead to a degree (Bachelor of Maritime Studies). Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2885ADVDIP"",""source_url"":""https://www.bcit.ca/programs/marine-engineering-advanced-diploma-full-time-2885advdip/"",""terms_per_year"":null,""total_credits"":""65.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2933ACERT,Bridge Watch Rating,"{""delivery_facts"":{""authoritative_raw"":""Program length 16 weeks. Program delivery In person: This program is delivered on campus. Access to a computer or laptop will be required for some online courses. Program location Marine Campus 265 West Esplanade North Vancouver, BC Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2933ACERT"",""source_url"":""https://www.bcit.ca/programs/bridge-watch-rating-associate-certificate-full-time-2933acert/"",""terms_per_year"":null,""total_credits"":""30.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2942DIPMA,Marine Engineering,"{""delivery_facts"":{""authoritative_raw"":""Program length Three years, full-time Program delivery In person: This program is delivered on campus. Program location Marine Campus 265 West Esplanade North Vancouver, BC The majority of classes take place at the BCIT Marine Campus. However, some courses may also be held at the Burnaby Campus, Annacis Island Campus, or offsite locations such as the Justice Institute Fire and Safety Training Centre in Maple Ridge, BC. Program structure The three-year diploma program consists of three terms of classroom instruction interspersed with two co-op terms: September Intake School Co-op Terms First Year Term 1 (Sep–May) Term 2 (Jun–Oct) Second Year Term 3 (Oct–May) Term 4 (Jun–Oct) Third Year Term 5 (Oct–Jun) Or: January Intake School Co-op Terms First Year Term 1 (Jan–Sep) Term 2 (Sep–Jan) Second Year Term 3 (Jan–Aug) Term 4 (Aug–Dec) Third Year Term 5 (Jan–Aug) A Transport Canada Training Certificate will be issued for the Operational level to students who successfully complete the program. Learn more about Transport Canada exemptions in the Marine Engineering Program. Additional program requirements Students must successfully complete all courses in the program within seven years from the start of the program to be eligible for a diploma. Transport Canada requires that Engineering Cadets on their sea phase be supervised by a qualified Marine Engineer aboard their ship. PER TP 8911 sections 2.4.3.7, students will complete sea service onboard vessels of 750kW or more propulsion power. All students need to complete Transport Canada’s Fatigue Management at Sea (FMT) training prior to the MEDI courses. Please email a copy of your completed training certificate to your Program Assistant/Program Coordinator and Department Head prior to the MEDI course start date. Be prepared to present a physical copy of your FMT certificate on the 1st day of the course at the BCIT Marine Campus (BMC) or Justice Institute of BC (JIBC). In order to complete the firefighting portion of MEDI 1510 – STCW Basic Safety Training and MEDI 2510 – Advanced Fire Fighting, participants must be clean-shaven where the self-contained breathing apparatus (SCBA) or any tight-fitting respirator seals with the face, as per WorkSafe BC Occupational Health and Safety Regulation Part 31: Firefighting . Students must follow the rules and regulations provided by BCIT and the Justice Institute of BC for the donning of personal protective equipment. TCMSS examination fees, where applicable, are not part of the program/course fees. They are payable to TCMSS directly and are due two weeks in advance of the examination. Standard BCIT policies concerning examination re-writes apply to this program. Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2942DIPMA"",""source_url"":""https://www.bcit.ca/programs/marine-engineering-diploma-full-time-2942dipma/"",""terms_per_year"":null,""total_credits"":""213.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2958CERT,"Heating, Ventilation, Air Conditioning and Refrigeration Technician","{""delivery_facts"":{""authoritative_raw"":""Program length 41 weeks, full-time Grading The course passing grade is 64 per cent. In order to successfully complete each level, a minimum grade point average (GPA) of 70 per cent is required. An overall GPA of 70 per cent is required to successfully complete the program. Accreditation Graduates of this program who enter the trade within one year of graduation can expect to receive credit for three levels of technical training for the Refrigeration and Air Conditioning apprenticeship. Program delivery In person: This program is delivered on campus. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC Industry training authority BCIT transfers the student's name, contact information, Personal Education Number (PEN), and the name and date of the completed Foundation program to SkilledTradesBC. This information is used for the purposes of tracking successful completions in order to grant credit towards apprenticeship where applicable, and communicating with trainees to promote continuation in an apprenticeship program. Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2958CERT"",""source_url"":""https://www.bcit.ca/programs/heating-ventilation-air-conditioning-and-refrigeration-technician-certificate-full-time-2958cert/"",""terms_per_year"":null,""total_credits"":""84.5""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
2992DIPMA,"Heating, Ventilation, Air Conditioning and Refrigeration Technician","{""delivery_facts"":{""authoritative_raw"":""Program length 89 weeks, full-time Term 1: 21 weeks school; 22 weeks co-op Term 2: 14 weeks school; 22 weeks co-op Term 3: 10 weeks Grading Course passing grade is 64 per cent. In order to successfully complete each level a minimum grade point average (GPA) of 70 per cent is required. An overall GPA of 70 per cent is required to successfully complete the program. Program delivery In person: This program is delivered on campus. Program location Burnaby Campus 3700 Willingdon Avenue Burnaby, BC SkilledTradesBC BCIT transfers the student's name, contact information, Personal Education Number (PEN), and the name and date of the completed Foundation program to SkilledTradesBC. This information is used for the purposes of tracking successful completions in order to grant credit towards apprenticeship where applicable, and communicating with trainees to promote continuation in an apprenticeship program. Co-operative education This is a cooperative education program that combines academic terms with paid cooperative work terms. While co-op coordinators find the majority of job placements for students, it must be recognized that during certain periods of the business cycle, job placements may be difficult to find. It is then the responsibility of the student to work with the coordinator (and independently) to find meaningful work experience. The cooperative education policy is included under Programming Policy 5004 which is listed in BCIT's institute policies under the Education heading. For more information, please visit the Centre for Workplace Education located in Building NW5, Room 101 at the Burnaby campus. Co-op coordinator: Marion Gasbarro Tel: 778-928-2458 Email: marion_gasbarro@bcit.ca General inquiries: 604-432-8634 Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""2992DIPMA"",""source_url"":""https://www.bcit.ca/programs/heating-ventilation-air-conditioning-and-refrigeration-technician-diploma-full-time-2992dipma/"",""terms_per_year"":null,""total_credits"":""125.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
5125ACERT,Business of Sawmilling,"{""delivery_facts"":{""authoritative_raw"":""Program length The Business of Sawmilling Associate Certificate is a one-year program. Students proceed through this program as a cohort and are automatically registered in their classes. Each cohort will complete one course at a time and will be provided with their course schedule at the time of registration. Program delivery Online: This program is delivered fully online. Program location Students must attend a program orientation virtually at the beginning of the program. The entire program is completed through online learning . Go back Courses Next up Graduating & Jobs"",""duration_years"":null,""intake_months"":[],""international_eligibility"":""Refer to official program page"",""last_checked"":""2026-09-08"",""program_id"":""5125ACERT"",""source_url"":""https://www.bcit.ca/programs/business-of-sawmilling-associate-certificate-part-time-5125acert/"",""terms_per_year"":null,""total_credits"":""15.0""},""international_conditions"":[],""international_rule_sets"":[],""legacy_accepts_international_students"":null}",UNKNOWN_NOT_PUBLISHED,SKIP,[],[],"[""Unknown: no database actions; list absence/missing flags never imply rejection.""]",[]
